1,2,3,4,5,6,7,8,Simple Display,Description,Type,HSSP2 Strategic Objective,New HSSP2 Strat Obj (if changed),HSSP2 Strategic Program,New HSSP2 Strat Prog (if changed),Official (long) name,ID,,,,,,,,,,,,,,,,,,,,
,,,Public Health,,,,,Education and Training,,Mtef,Across all 3 objectives,,Quality Assurance,,04  Educationa nd training,,,,,,,,,,,,,,,,,,,,,
,,,Allied Health,,,,,Education and Training,,Mtef,Across all 3 objectives,,Quality Assurance,,04  Educationa nd training,,,,,,,,,,,,,,,,,,,,,
,,Research,,,,,,Research,,Mtef,Across all 3 objectives,,Quality Assurance,,05 Research,,,,,,,,,,,,,,,,,,,,,
,,,Medicine,,,,,Research,,Mtef,Across all 3 objectives,,Quality Assurance,,05 Research,,,,,,,,,,,,,,,,,,,,,
,,,Nursing,,,,,Research,,Mtef,Across all 3 objectives,,Quality Assurance,,05 Research,,,,,,,,,,,,,,,,,,,,,
,,,Public Health,,,,,Research,,Mtef,Across all 3 objectives,,Quality Assurance,,05 Research,,,,,,,,,,,,,,,,,,,,,
,,,Allied Health,,,,,Research,,Mtef,Across all 3 objectives,,Quality Assurance,,05 Research,,,,,,,,,,,,,,,,,,,,,
,,Faculty and staff development,,,,,,Faculty and staff development,,Mtef,Across all 3 objectives,,Quality Assurance,,06 Faculty and staff development,,,,,,,,,,,,,,,,,,,,,
,,,Medicine,,,,,Faculty and staff development,,Mtef,Across all 3 objectives,,Quality Assurance,,06 Faculty and staff development,,,,,,,,,,,,,,,,,,,,,
,,,Nursing,,,,,Faculty and staff development,,Mtef,Across all 3 objectives,,Quality Assurance,,06 Faculty and staff development,,,,,,,,,,,,,,,,,,,,,
,,,Public Health,,,,,Faculty and staff development,,Mtef,Across all 3 objectives,,Quality Assurance,,06 Faculty and staff development,,,,,,,,,,,,,,,,,,,,,
,,,Allied Health,,,,,Faculty and staff development,,Mtef,Across all 3 objectives,,Quality Assurance,,06 Faculty and staff development,,,,,,,,,,,,,,,,,,,,,
Providing Technical Assistance@ Improving Planning@ Building Capacity@ Strengthening Systems,,,,,,,,Providing Technical Assistance@ Improving Planning@ Building Capacity@ Strengthening Systems,These programs are aimed at strengthening the health system through improving efficiency and equity of service provision. This category generally does not include direct provision of services or commodities to individuals.,Mtef,Across all 3 objectives,,Governance,,Providing Technical Assistance@ Improving Planning@ Building Capacity@ Strengthening Systems,1166,,,,,,,,,,,,,,,,,,,,
,Development Of Sector Institutional Capacity,,,,,,,Development Of Sector Institutional Capacity,Development and Strengthening of the health sector's institutional capacity,Mtef,Across all 3 objectives,,Planning and M&E,,01  DEVELOPMENT OF SECTOR INSTITUTIONAL CAPACITY,1167,,,,,,,,,,,,,,,,,,,,
,,Health Policies,,,,,,Health Policies,Designing@ publishing@ and disseminating policies@ strategies laws@ and regulations in the field of health,Mtef,Across all 3 objectives,,Governance,,01  HEALTH POLICIES,1168,,,,,,,,,,,,,,,,,,,,
,,,Financial Support,,,,,Financial Support,,Mtef,Across all 3 objectives,,Governance,,Financial Support,1169,,,,,,,,,,,,,,,,,,,,
,,,Policies for Malaria,,,,,Policies for Malaria,,Nha,Across all 3 objectives,,Governance,,Policies for Malaria,1170,,,,,,,,,,,,,,,,,,,,
,,,Policies for HIV,,,,,Policies for HIV,AIDS-specifc policies for institutional development. This refers to investment in capacity building of nongovernmental organizations (including faith-based organizations). It includes strengthening the ability of key local institutions to implement HIV programmes effciently with diminishing reliance@ over time@ on external technical assistance. This includes services that improve the fnancial management@ human resource management@ quality assurance@ strategic planning@ and leadership and coordination of partner organizations. Expenditures on the institutional development of nation-wide organizations@ e.g. National AIDS Coordinating Authority@ are recorded under Planning@ coordination and programme management,Nha,Across all 3 objectives,,Governance,,Policies for HIV 7.03 AIDS-specific institutional development,1171,,,,,,,,,,,,,,,,,,,,
,,,Policies for TB ,,,,,Policies for TB ,,Nha,Across all 3 objectives,,Governance,,Policies for TB,1172,,,,,,,,,,,,,,,,,,,,
,,,Policies for Family Planning and Reproductive Health,,,,,Policies for Family Planning and Reproductive Health,,Nha,a. FP/MCH/RH/Nutrition services,,Governance,,Policies for Family Planning and Reproductive Health,1173,,,,,,,,,,,,,,,,,,,,
,,,Policies for Child Health,,,,,Policies for Child Health,,Nha,a. FP/MCH/RH/Nutrition services,,Governance,,Policies for Child Health,1174,,,,,,,,,,,,,,,,,,,,
,,,General Health System Policies,,,,,General Health System Policies,,,Across all 3 objectives,,Governance,,,,,,,,,,,,,,,,,,,,,,,
,,Planning,,,,,,Planning,Ensuring all institutions have a strategic annual action plan@ regularly prepare budgets.  Includes the support of professional organizations and institutions,Mtef,Across all 3 objectives,,Planning and M&E,,02  PLANNING,1175,,,,,,,,,,,,,,,,,,,,
,,,Financial Support,,,,,Financial Support,,Mtef,Across all 3 objectives,,Planning and M&E,,Financial Support,1176,,,,,,,,,,,,,,,,,,,,
,,,Planning for Malaria,,,,,Planning for Malaria,,Nha,Across all 3 objectives,,Planning and M&E,,Planning for Malaria,1177,,,,,,,,,,,,,,,,,,,,
,,,Planning for HIV,,,,,Planning for HIV,"Planning@ coordination@ and programme management  refers to expenditure incurred at the administrative level outside the point of health care delivery@ including the dissemination of strategic information@ on best practice@programme effciency and effectiveness@ planning/evaluation of prevention@ care@ and treatment efforts, analysis and quality assurance of demographic and health data related to HIV@ and the testing of implementation models even though these may be conducted in a delivery institution. Also included are coordination activities@ for instance in support of the 'Three Ones' principles: Coordination of a single approved AIDS action framework and support to build/strengthen one National AIDS Coordinating Authority. Also included are expenditures related to the conduct of national AIDS strategic planning and of human resource planning (e.g. district level). The resource tracking for human resources under programme costs is different to the disbursements of human resources as reported for personnel providing prevention and treatment-ASC.01 and ASC.02-because they are offered as part of health care delivery services (e.g. salary of a doctor dedicated to PMTCT@ which would be a component of PMTCT and should be accounted as a production factor of the ASC related to PMTCT).",Nha,Across all 3 objectives,,Planning and M&E,,Planning for HIV 4.01 Planning@ coordination and programme management\,1178,,,,,,,,,,,,,,,,,,,,
,,,Planning for TB,,,,,Planning for TB,,Nha,Across all 3 objectives,,Planning and M&E,,Planning for TB ,1179,,,,,,,,,,,,,,,,,,,,
,,,Planning for Family Planning and Reproductive Health,,,,,Planning for Family Planning and Reproductive Health,,Nha,a. FP/MCH/RH/Nutrition services,,Planning and M&E,,Planning for Family Planning and Reproductive Health,1180,,,,,,,,,,,,,,,,,,,,
,,,Planning for Child Health,,,,,Planning for Child Health,,Nha,a. FP/MCH/RH/Nutrition services,,Planning and M&E,,Planning for Child Health,1181,,,,,,,,,,,,,,,,,,,,
,,,General Health System Planning,,,,,General Health System Planning,,Nha,Across all 3 objectives,,Planning and M&E,,General Health System Planning,,,,,,,,,,,,,,,,,,,,,
,,Management Of The Health Sector,,,,,,Management Of The Health Sector,Management of the Health Sector is improved through developing and publishing management procedures@ ensuring proper supervision and management of health sector staff@ as well as budgets and activiites,Mtef,Across all 3 objectives,,Governance,,03  MANAGEMENT OF THE HEALTH SECTOR,1182,,,,,,,,,,,,,,,,,,,,
,,,Financial Support,,,,,Financial Support,,Mtef,Across all 3 objectives,,Governance,,Financial Support,1183,,,,,,,,,,,,,,,,,,,,
,,,Management for Malaria Programs,,,,,Management for Malaria Programs,,Mtef,Across all 3 objectives,,Governance,,Management for Malaria Programs,1184,,,,,,,,,,,,,,,,,,,,
,,,Management for HIV Programs,,,,,Management for HIV Programs,,Mtef,Across all 3 objectives,,Governance,,Management for HIV Programs  4.01 Planning@ coordination and programme management,1185,,,,,,,,,,,,,,,,,,,,
,,,Management for TB programs,,,,,Management for TB programs,,Mtef,Across all 3 objectives,,Governance,,Management for TB programs,1186,,,,,,,,,,,,,,,,,,,,
,,,Management for Family Planning and Reproductive Health Programs,,,,,Management for Family Planning and Reproductive Health Programs,,Mtef,a. FP/MCH/RH/Nutrition services,,Governance,,Management for Family Planning and Reproductive Health Programs,1187,,,,,,,,,,,,,,,,,,,,
,,,General Health System Management,,,,,General Health System Management,,Mtef,Across all 3 objectives,,Governance,,General Health System Management,,,,,,,,,,,,,,,,,,,,,
,,Information Technology For Health,,,,,,Information Technology For Health,Developing and implementing policies@ procedures@ norms and standards in the  health sector for information communication technology (ICT),Mtef,Across all 3 objectives,,Planning and M&E,,04  INFORMATION TECHNOLOGY FOR HEALTH,1188,,,,,,,,,,,,,,,,,,,,
,,,Financial Support,,,,,Financial Support,,Mtef,Across all 3 objectives,,Planning and M&E,,Financial Support,1189,,,,,,,,,,,,,,,,,,,,
,,,Information technology for Malaria Programs,,,,,Information technology for Malaria Programs,,Nha,Across all 3 objectives,,Planning and M&E,,Information technology for Malaria Programs,1190,,,,,,,,,,,,,,,,,,,,
,,,Information technology for HIV Programs,,,,,Information technology for HIV Programs,,Nha,Across all 3 objectives,,Planning and M&E,,Information technology for HIV Programs  4.08 Information technology,1191,,,,,,,,,,,,,,,,,,,,
,,,Information technology for TB programs,,,,,Information technology for TB programs,,Nha,Across all 3 objectives,,Planning and M&E,,Information technology for TB programs,1192,,,,,,,,,,,,,,,,,,,,
,,,Information technology for Family Planning and Reproductive Health Programs,,,,,Information technology for Family Planning and Reproductive Health Programs,,Nha,a. FP/MCH/RH/Nutrition services,,Planning and M&E,,Information technology for Family Planning and Reproductive Health Programs,1193,,,,,,,,,,,,,,,,,,,,
,,,Information technology for Child Health Programs,,,,,Information technology for Child Health Programs,,Nha,a. FP/MCH/RH/Nutrition services,,Planning and M&E,,Information technology for Child Health Programs,1194,,,,,,,,,,,,,,,,,,,,
,,,General Health System Information Techncology,,,,,Information technology for Child Health Programs,,Nha,Across all 3 objectives,,Planning and M&E,,General Health System Information Techncology,,,,,,,,,,,,,,,,,,,,,
,,Monitoring And Evaluation Of Health Activities,,,,,,Monitoring And Evaluation Of Health Activities,M&E relating to ensuring use of EDPRS@ MTEF@ PER@ and National Strategic plans. Includes Development of Health Information Systems (HIS) and ensuring access to these systems at decentralized levels. Ensuring annual evaluation of development partner activities.,Mtef,Across all 3 objectives,,Planning and M&E,,05  MONITORING AND EVALUATION OF HEALTH ACTIVITIES,1195,,,,,,,,,,,,,,,,,,,,
,,,Monitoring and Evaluation for Malaria Programs,,,,,Monitoring and Evaluation for Malaria Programs,,Nha,Across all 3 objectives,,Planning and M&E,,Monitoring and Evaluation for Malaria Programs,1196,,,,,,,,,,,,,,,,,,,,
,,,Financial Support,,,,,Financial Support,,Nha,Across all 3 objectives,,Planning and M&E,,Financial Support,1197,,,,,,,,,,,,,,,,,,,,
,,,,General Monitoring and Evaluation,,,,General Monitoring and Evaluation,Monitoring and Evaluation for HIV activities that cannot be disaggregated,Nasa,Across all 3 objectives,,Planning and M&E,,4.03 Monitoring and Evaluation,1198,,,,,,,,,,,,,,,,,,,,
,,,,Operations Research for HIV Programs,,,,Operations Research for HIV Programs,This refers to investments and expenses incurred in performing applied operations research aimed at improving the management@ delivery@ and quality of health services. An operations researcher faced with a new problem is expected to determine which techniques are most appropriate given the nature of the system@ the goals for improvement@ and constraints on time and computing power.,Nasa,Across all 3 objectives,,Planning and M&E,,4.04 Operations research,1199,,,,,,,,,,,,,,,,,,,,
,,,,Serological Surveillance,,,,Serological Surveillance,"This category includes expenditure on registry@ processing of information to be used to document the incidence@ and specifc prevalence of the epidemic in the general population as well as in specifc populations. Also included are sentinel studies@ mandatory reporting of cases@ and epidemiological analysis. Surveillance implies ongoing and systematic collection@ analysis@ and interpretation of data on a disease or health condition.
Collecting blood samples for the purpose of surveillance is called serosurveillance. Built upon a country's existing data collection system@ second-generation HIV surveillance systems are designed to be adapted and modifed to meet the specifc needs of differing epidemics. For example@ HIV surveillance in a country with a predominantly heterosexual epidemic will differ radically from
surveillance in a country where HIV infection is mostly found among MSM or IDUs. Surveillance for drug resistance is to be recorded under the below category . The surveillance programmes aim to improve the quality and diversity of information sources by developing and implementing standard and rigorous study protocols@ using appropriate methods and tools.",Nasa,Across all 3 objectives,,Planning and M&E,,4.05 Serological-surveillance (Serosurveillance),1200,,,,,,,,,,,,,,,,,,,,
,,,,HIV Drug-Resistance Surveillance,,,,HIV Drug-Resistance Surveillance,"HIV drug-resistance surveillance includes the setting up of sentinel sites@ laboratory operations@ materials and goods@ and the integration and support for the activities of a National HIV-Drug Resistance Committee. HIV drug resistance surveillance is aimed at the epidemiological monitoring of the prevalence and to determine the circulation of resistant viral strains among specifc HIV-positive populations. This provides the number or proportion of HIV positive people in a given population whose HIV is resistant to particular anti-HIV drugs.
The genotypic antiretroviral resistance test (GART) determines whether a particular strain of HIV has specifc genetic mutations associated with drug resistance. The test analyses a sample of the virus from an individual's blood to identify any genetic mutations associated with resistance
to specifc drugs. The phenotypic assay is different from a genotypic assay, it uses an indirect method@ and determines by a direct experiment whether a particular strain of HIV is resistant to anti-HIV drugs.",Nasa,Across all 3 objectives,,Planning and M&E,,4.06 HIV drug-resistance surveillance,1201,,,,,,,,,,,,,,,,,,,,
,,,,Drug Supply Systems,,,,Drug Supply Systems,"Drug supply systems  include the procurement processes@ logistics@ transportation@ and supply of antiretroviral and other essential drugs for the care of people living with HIV. These expenditures aim to increase the capacity of logistics and drug supply systems@ including staffng@ development of administrative systems@ and upgrading of transportation infrastructure.
These activities involve support systems for pharmaceuticals@ diagnostics@ medical equipment@ medical commodities@ and supplies to provide care and treatment of people living with HIV and related infections. This includes the design@ development@ and implementation of improved systems for forecasting@ procurement@ storage@ distribution@ and performance monitoring of HIV pharmaceuticals@ and of relevant commodities and supplies. This includes actual spending to improve ordering@ procurement@ shipment@ and delivery of the full range of HIV-related pharmaceuticals@ diagnostics@ and other medical commodities. Antiretroviral drugs purchased and delivered@ must be coded under Antiretroviral therapy",Nasa,Across all 3 objectives,,Planning and M&E,,4.07 Drug supply systems,1202,,,,,,,,,,,,,,,,,,,,
,,,,Patient Tracking,,,,Patient Tracking,Patient tracking. The activities and resources to provide adherence support or treatment preparedness require to be accounted explicitly. Including  resources and personnel working in the feld on supervision activities or direct tracking of patients ensuring compliance with and preparation of treatment. These activities need to be accounted explicitly for HIV patients and special populations (e.g. IDUs). Salaries for the personnel required to provide treatment and care services are covered to some extent in the HIV Care and Treatment categories (e.g. community health workers) and ing the human resource component under Monetary incentives.,Nsp,Across all 3 objectives,,Planning and M&E,,4.09 Patient tracking / NSP 2.2.1.4 Quality Standards for ART are maintained,1203,,,,,,,,,,,,,,,,,,,,
,,,Monitoring and Evaluation for TB programs,,,,,Monitoring and Evaluation for TB programs,,Nha,Across all 3 objectives,,Planning and M&E,,Monitoring and Evaluation for TB programs,1204,,,,,,,,,,,,,,,,,,,,
,,,Monitoring and Evaluation for Family Planning and Reproductive Health Programs,,,,,Monitoring and Evaluation for Family Planning and Reproductive Health Programs,,Nha,a. FP/MCH/RH/Nutrition services,,Planning and M&E,,Monitoring and Evaluation for Family Planning and Reproductive Health Programs,1205,,,,,,,,,,,,,,,,,,,,
,,,Monitoring and Evaluation for Child Health Programs,,,,,Monitoring and Evaluation for Child Health Programs,,Nha,a. FP/MCH/RH/Nutrition services,,Planning and M&E,,Monitoring and Evaluation for Child Health Programs,1206,,,,,,,,,,,,,,,,,,,,
,,,Monitoring and Evaluation for Other health programs,,,,,Monitoring and Evaluation for Child Health Programs,,Nha,Across all 3 objectives,,Planning and M&E,,Monitoring and Evaluation for Other health programs,,,,,,,,,,,,,,,,,,,,,
,,,Quality Assurance and Improvement (including accreditation and supervision),,,,,Quality Assurance and Improvement (including accreditation and supervision),,??,Across all 3 objectives,,Quality Assurance,,Quality Assurance and Improvement (including accreditation and supervision),,,,,,,,,,,,,,,,,,,,,
,,National Clinical Research Center Of Rwanda( Nccr),,,,,,National Clinical Research Center Of Rwanda( Nccr),Supporting the operations of NCCR,Code,Across all 3 objectives,,Planning and M&E,,07  NATIONAL CLINICAL RESEARCH CENTER OF RWANDA( NCCR),1208,,,,,,,,,,,,,,,,,,,,
,Human Resources For Health,,,,,,,Human Resources For Health,Increasing the availability and quality of human resources for health,Mtef,Across all 3 objectives,,Human Resources for Health,,02  HUMAN RESOURCES FOR HEALTH,1209,,,,,,,,,,,,,,,,,,,,
,,Remuneration And Incentives,,,,,,Remuneration And Incentives,Renumeration@ allowances@ and incentives for health sector staff to attract and retain human resources for health. Also includes support for policies ensuring regularization of wages. Does NOT include PBF (Performance-based Financing),Mtef,Across all 3 objectives,,Human Resources for Health,,01  REMUNERATION AND INCENTIVES,1210,,,,,,,,,,,,,,,,,,,,
,,,Technical Assistance,,,,,Technical Assistance,,Mtef,Across all 3 objectives,,Human Resources for Health,,Technical Assistance,1211,,,,,,,,,,,,,,,,,,,,
,,,Financial Support,,,,,Financial Support,,Mtef,Across all 3 objectives,,Human Resources for Health,,Financial Support,1212,,,,,,,,,,,,,,,,,,,,
,,,Incentives for staff involved in HIV service delivery,,,,,Incentives for staff involved in HIV service delivery,"Wage benefts for doctors incorporated into the total remuneration package as a way of attracting and retaining human
resources for health.",Nha,Across all 3 objectives,,Human Resources for Health,,5.01 Monetary incentives for human resources,1213,,,,,,,,,,,,,,,,,,,,
,,Nurses And Midwives,,,,,,Nurses And Midwives,Renumeration@ allowances@ and incentives for nursing staff. Includes support for policies ensuring regularization of wages for nursing staff,Mtef,Across all 3 objectives,,Human Resources for Health,,02  NURSES AND MIDWIVES,1214,,,,,,,,,,,,,,,,,,,,
,,,Technical Assistance,,,,,Technical Assistance,,Mtef,Across all 3 objectives,,Human Resources for Health,,Technical Assistance,1215,,,,,,,,,,,,,,,,,,,,
,,,Financial Support,,,,,Financial Support,,Mtef,Across all 3 objectives,,Human Resources for Health,,Financial Support,1216,,,,,,,,,,,,,,,,,,,,
,,Nursing Schools,,,,,,Nursing Schools,Reinforcement of capcity of schools of nursing science@ including grants and support of the 5 ESI,Mtef,Across all 3 objectives,,Human Resources for Health,,03  NURSING SCHOOLS,1217,,,,,,,,,,,,,,,,,,,,
,,,Technical Assistance,,,,,Technical Assistance,,Mtef,Across all 3 objectives,,Human Resources for Health,,Technical Assistance,1218,,,,,,,,,,,,,,,,,,,,
,,,Financial Support,,,,,Financial Support,,Mtef,Across all 3 objectives,,Human Resources for Health,,Financial Support,1219,,,,,,,,,,,,,,,,,,,,
,,Pharmacy,,,,,,Pharmacy,Renumeration@ allowances@ and incentives for pharmacy staff. Includes support for policies ensuring regularization of wages for pharmacy staff,Mtef,Across all 3 objectives,,Human Resources for Health,,04  PHARMACY,1220,,,,,,,,,,,,,,,,,,,,
,,,Technical Assistance,,,,,Technical Assistance,,Mtef,Across all 3 objectives,,Human Resources for Health,,Technical Assistance,1221,,,,,,,,,,,,,,,,,,,,
,,,Financial Support,,,,,Financial Support,,Mtef,Across all 3 objectives,,Human Resources for Health,,Financial Support,1222,,,,,,,,,,,,,,,,,,,,
,,Enlarged Vaccination Program,,,,,,Enlarged Vaccination Program,Renumeration@ allowances@ and incentives for PEV staff. Includes support for policies ensuring regularization of wages for PEV staff,Mtef,b. Prevention and control of diseases,,Human Resources for Health,,05  ENLARGED VACCINATION PROGRAM,1223,,,,,,,,,,,,,,,,,,,,
,,,Technical Assistance,,,,,Technical Assistance,,Mtef,b. Prevention and control of diseases,,Human Resources for Health,,Technical Assistance,1224,,,,,,,,,,,,,,,,,,,,
,,,Financial Support,,,,,Financial Support,,Mtef,b. Prevention and control of diseases,,Human Resources for Health,,Financial Support,1225,,,,,,,,,,,,,,,,,,,,
,,Fight Against Blindness And Physical Handicap,,,,,,Fight Against Blindness And Physical Handicap,Renumeration@ allowances@ and incentives for Blindness task force staff. Includes support for policies ensuring regularization of wages for PEV staff@ and ensuring timely payment of wages,Mtef,Across all 3 objectives,,Human Resources for Health,,06  FIGHT AGAINST BLINDNESS AND PHYSICAL HANDICAP,1226,,,,,,,,,,,,,,,,,,,,
,,Medical Internship And Specialization Of Health Personnel,,,,,,Medical Internship And Specialization Of Health Personnel,Renumeration and incentives for physicians in training courses and for post-graduates to augment the number and quality of trained health sector staff,Mtef,Across all 3 objectives,,Human Resources for Health,,07  MEDICAL INTERNSHIP AND SPECIALIZATION OF HEALTH PERSONNEL,1227,,,,,,,,,,,,,,,,,,,,
,,Support To Housing Credit,,,,,,Support To Housing Credit,Support for physicians using the housing credit,Mtef,Across all 3 objectives,,Human Resources for Health,,08  SUPPORT TO HOUSING CREDIT,1228,,,,,,,,,,,,,,,,,,,,
,,HR management@ workforce planning@ and regulation,,,,,,HR management@ workforce planning@ and regulation,,Mtef,Across all 3 objectives,,Human Resources for Health,,09 HR MANAGEMENT,,,,,,,,,,,,,,,,,,,,,
,,In-service training and supportive supervision,,,,,,In-service training and supportive supervision,,Mtef,Across all 3 objectives,,Human Resources for Health,,10  IN-SERVICE TRAINING,,,,,,,,,,,,,,,,,,,,,
,Financial Accessibility To Health Services,,,,,,,Financial Accessibility To Health Services,Ensuring financial accessibility to health services for all and sustainable and equitable financing of the health sector (including mutuelles and other support systems),Mtef,Across all 3 objectives,,Health Financing,,03  FINANCIAL ACCESSIBILITY TO HEALTH SERVICES,1229,,,,,,,,,,,,,,,,,,,,
,,Organisation And Regulation Of Mutuelles Insurance System,,,,,,Organisation And Regulation Of Mutuelles Insurance System,Ensuring that mutuelles have a functional system for national mobility@ strong management support@ and that participants have access to quality care,Mtef,Across all 3 objectives,,Health Financing,,01  ORGANISATION AND REGULATION OF MUTUELLES INSURANCE SYSTEM,1230,,,,,,,,,,,,,,,,,,,,
,,,Technical Assistance,,,,,Technical Assistance,,Mtef,Across all 3 objectives,,Health Financing,,Technical Assistance,1231,,,,,,,,,,,,,,,,,,,,
,,,Financial Support,,,,,Financial Support,,Mtef,Across all 3 objectives,,Health Financing,,Financial Support,1232,,,,,,,,,,,,,,,,,,,,
,,Subsidisation Of Health Services and Performance Incentives,,,,,,Subsidisation Of Health Services,Ensuring that the poor are supported in adhering to mutuelles@ and that the financial security system and access to hospital care is guaranteed through the national solidarity fund,Mtef,Across all 3 objectives,,Health Financing,,02  SUBSIDISATION OF HEALTH SERVICES,1233,,,,,,,,,,,,,,,,,,,,
,,,Technical Assistance,,,,,Technical Assistance,,Mtef,Across all 3 objectives,,Health Financing,,Technical Assistance,1234,,,,,,,,,,,,,,,,,,,,
,,,Financial Support,,,,,Financial Support,,Mtef,Across all 3 objectives,,Health Financing,,Financial Support,1235,,,,,,,,,,,,,,,,,,,,
,,Health Transport,,,,,,Health Transport,Reinforcing the medical transport capabilities of Rwanda,Mtef,Across all 3 objectives,,Health Financing,,03  HEALTH TRANSPORT,1236,,,,,,,,,,,,,,,,,,,,
,,,Technical Assistance,,,,,Technical Assistance,,Mtef,Across all 3 objectives,,Health Financing,,Technical Assistance,1237,,,,,,,,,,,,,,,,,,,,
,,,Financial Support,,,,,Financial Support,,Mtef,Across all 3 objectives,,Health Financing,,Financial Support,1238,,,,,,,,,,,,,,,,,,,,
,,Development Of Tele Medicine,,,,,,Development Of Tele Medicine,Reinforcing the tele-medicine and distance learning opportunities in Rwanda,Mtef,Across all 3 objectives,,Health Financing,,04  DEVELOPMENT OF TELE MEDICINE,1239,,,,,,,,,,,,,,,,,,,,
,,,Technical Assistance,,,,,Technical Assistance,,Mtef,Across all 3 objectives,,Health Financing,,Technical Assistance,1240,,,,,,,,,,,,,,,,,,,,
,,,Financial Support,,,,,Financial Support,,Mtef,Across all 3 objectives,,Health Financing,,Financial Support,1241,,,,,,,,,,,,,,,,,,,,
,Geographic Accessibility To Health Services,,,,,,,Geographic Accessibility To Health Services,Ensuring geographic accessibility to health services for all,Mtef,Across all 3 objectives,,Infrastructure and Equipment,,04  GEOGRAPHIC ACCESSIBILITY TO HEALTH SERVICES,1242,,,,,,,,,,,,,,,,,,,,
,,Health Infrastructure,,,,,,Health Infrastructure,Upgrading and construction of infrastructure deals with investments@ purchases@ and expenses on the construction@ renovation@ leasing@ procurement (equipment@ supplies@ furniture@ and vehicles)@ overheads and/or installation for the implementation of health programmes. They include capital investments for building infrastructure that provide health services. The programme investments include high fxed start-up costs (e.g. buying computers and e-mail connectivity)@ specifically activities for clinical monitoring and for the purchase of new equipment. Also included are development and strengthening of laboratory facilities to support health activities including purchase of equipment and commodities@ provision of quality assurance@ staff training@ and other technical assistance,Mtef,Across all 3 objectives,,Infrastructure and Equipment,,01  HEALTH INFRASTRUCTURE,1243,,,,,,,,,,,,,,,,,,,,
,,,Health Infrastructure for Malaria,,,,,Health Infrastructure for Malaria,,Nha,Across all 3 objectives,,Infrastructure and Equipment,,Health Infrastructure for Malaria,1244,,,,,,,,,,,,,,,,,,,,
,,,Health Infrastructure for HIV,,,,,Health Infrastructure for HIV,Upgrading and construction of infrastructure deals with investments@ purchases@ and expenses on the construction@ renovation@ leasing@ procurement (equipment@ supplies@ furniture@ and vehicles)@ overheads and/or installation for the implementation of HIV programmes. They include capital investments for building infrastructure that provide HIV services. The programme investments include high fxed start-up costs (e.g. buying computers and e-mail connectivity)@ specifcally activities for clinical monitoring and for the purchase of new equipment. Also included are development and strengthening of laboratory facilities to support HIV-related activities including purchase of equipment and commodities@ provision of quality assurance@ staff training@ and other technical assistance.,Nha,Across all 3 objectives,,Infrastructure and Equipment,,Health Infrastructure for HIV  4.10 Upgrading and construction of infrastructure,1245,,,,,,,,,,,,,,,,,,,,
,,,Health Infrastructure for TB ,,,,,Health Infrastructure for TB ,,Nha,Across all 3 objectives,,Infrastructure and Equipment,,Health Infrastructure for TB ,1246,,,,,,,,,,,,,,,,,,,,
,,,Health Infrastructure for Family Health Infrastructure and Reproductive Health,,,,,Health Infrastructure for Family Health Infrastructure and Reproductive Health,,Nha,a. FP/MCH/RH/Nutrition services,,Infrastructure and Equipment,,Health Infrastructure for Family Health Infrastructure and Reproductive Health,1247,,,,,,,,,,,,,,,,,,,,
,,,Health Infrastructure for Child Health,,,,,Health Infrastructure for Child Health,,Nha,a. FP/MCH/RH/Nutrition services,,Infrastructure and Equipment,,Health Infrastructure for Child Health,1248,,,,,,,,,,,,,,,,,,,,
,,,Other health infrastructure,,,,,Other health infrastructure,,,Across all 3 objectives,,Infrastructure and Equipment,,Other health infrastructure,,,,,,,,,,,,,,,,,,,,,
,,Health Equipment,,,,,,Health Equipment,Purchase and maintenance of specialised health equipment. Also includes supervision and training for staff involved in using equipment,Mtef,Across all 3 objectives,,Infrastructure and Equipment,,02  HEALTH EQUIPMENT,1249,,,,,,,,,,,,,,,,,,,,
,,Health Transport,,,,,,Health Transport,Ensure proper functioning of ambulance service@ maintenance of SAMU facilities and equipment,Mtef,Across all 3 objectives,,Infrastructure and Equipment,,03  HEALTH TRANSPORT,1250,,,,,,,,,,,,,,,,,,,,
,,Development Of Tele Medicine,,,,,,Development Of Tele Medicine,Implementing and developing systems for tele-medecine and distance learning,Mtef,Across all 3 objectives,,Infrastructure and Equipment,,04  DEVELOPMENT OF TELE MEDICINE,1251,,,,,,,,,,,,,,,,,,,,
,Availability Of Drugs And Consumables,,,,,,,Availability Of Drugs And Consumables,Ensuring the (universal) availability and rational use at all levels of quality@ drugs@ vaccines@ and consumables,Mtef,Across all 3 objectives,,Commodities@ Supply and Logistics,,05  AVAILABILITY OF DRUGS AND CONSUMABLES,1252,,,,,,,,,,,,,,,,,,,,
,,Regulation Of Pharmaceutical Sector,,,,,,Regulation Of Pharmaceutical Sector,Establishing an independent task force pharmacy@ sensitizing the populations to the harm of self-medication,Mtef,Across all 3 objectives,,Commodities@ Supply and Logistics,,01  REGULATION OF PHARMACEUTICAL SECTOR,1253,,,,,,,,,,,,,,,,,,,,
,,,Technical Assistance,,,,,Technical Assistance,,Mtef,Across all 3 objectives,,Commodities@ Supply and Logistics,,Technical Assistance,1254,,,,,,,,,,,,,,,,,,,,
,,,Financial Support,,,,,Financial Support,,Mtef,Across all 3 objectives,,Commodities@ Supply and Logistics,,Financial Support,1255,,,,,,,,,,,,,,,,,,,,
